antibody,Class,Fm,Fm_uni,n
VIR-7229,class 1,0.0,0.144,1
S2E12,class 1,0.051,0.9205,1
COV2-2196,class 1,0.067,0.7085,1
COV2-2832,class 1,0.074,0.1215,1
COV2-2165,class 1,0.121,0.24325,1
REGN10933,class 1,0.201,0.265,1
LY-CoV016,class 1,0.296,0.459,1
S2H14,class 1,0.711,0.698,1
COV2-2479,class 2,0.037,0.0345,1
S2D106,class 2,0.379,0.95425,1
COV2-2050,class 2,0.385,0.117,1
S2H58,class 2,0.442,0.892,1
COV2-2096,class 2,0.445,0.254,1
S2X16,class 2,0.482,0.3745,1
S2X58,class 2,0.613,0.99875,1
LY-CoV555,class 2,0.639,0.216,1
S2H13,class 2,0.796,0.68525,1
S309,class 3,0.053,1.0,1
COV2-2499,class 3,0.195,0.404,1
S2X227,class 3,0.3,0.214,1
COV2-2130,class 3,0.362,0.39325,1
REGN10987,class 3,0.45,0.32675,1
CR3022,class 4,0.0,0.2865,1
SA55,class 4,0.004,0.47425,1
S2X259,class 4,0.059,0.2955,1
S2H97,class 4,0.107,0.612,1
COV2-2094,class 4,0.182,0.144,1
COV2-2677,class 4,0.239,0.60175,1
COV2-2082,class 4,0.247,0.2435,1
S2X35,class 4,0.386,1.0,1
S304,class 4,0.794,0.999,1
